Group ,ZL,ZW,ZFLL
0,-1.130151915,0.463731927,1.396991048
0,-0.162942577,-0.394267741,-1.312137115
0,0.574367,-0.124722515,-1.167578239
0,-0.568578377,-0.804453518,0.430449397
0,-0.881362081,0.264040984,-0.389885336
0,0.341190522,-0.502682123,0.556159419
0,-0.198216228,-0.835562196,0.05568778
0,-0.936048923,-0.007087724,-0.603067366
0,1.738432929,-0.146144793,0.737772085
0,-1.17145588,-1.074464736,0.503089039
0,-1.228896318,0.669476313,-0.497854239
0,1.597585429,1.030298099,1.237779908
0,0.994046802,0.738213106,0.76475753
0,-0.267194175,0.172298431,-1.041327912
0,-1.350468634,-0.503148116,-0.030780105
0,0.547492148,0.350567096,1.296334715
0,-0.798863251,-0.726496317,0.113778771
0,0.088215743,-0.263128086,0.723583638
0,-0.221814363,0.743615051,0.467399575
0,-0.057092715,-0.775860308,0.99897676
0,-1.177348186,0.226598375,1.274369881
0,-0.342725554,0.177234384,0.482488531
0,0.11878133,0.622347302,-0.584785941
0,-0.469281947,-0.363439551,0.189250677
0,-0.28685447,0.814586824,0.736380635
0,0.89700976,0.266927461,-0.467676326
0,-0.02377353,0.193906213,0.994392841
0,-0.323312364,0.116600509,0.51542222
0,0.404029058,-0.723143847,-0.32311745
0,1.61609039,0.251373122,-1.153880733
0,0.842322919,0.068820001,-0.831365475
0,-0.364754336,0.105330625,0.41569352
0,-0.743900396,-0.497094674,0.759709795
0,0.684815827,0.331379799,-0.178558574
0,-1.283307146,-0.674804594,1.4417941
0,-0.981537833,-1.432400046,-0.14928117
0,0.230000381,0.384562252,-0.52669495
0,-0.172358704,-0.601224601,0.354846754
0,-0.869795664,-0.577567343,0.100490833
0,-0.080552844,-0.997439521,0.874527451
0,-0.909007156,1.396707335,1.327876954
0,1.079575244,0.794282036,-1.058735952
0,-1.566709506,-0.301036689,0.639844404
0,-0.145730958,0.910799337,0.04559231
0,-0.432024922,-1.079029681,-1.115462617
0,1.050855024,0.023274473,-0.355150629
0,0.18148186,0.778727697,0.405161358
0,-1.311889359,0.377110831,-1.95995053
0,-0.104812105,-0.426122901,-0.691390518
0,1.378067842,0.694436565,-1.393147698
0,-0.579563859,-0.090541855,0.907461139
0,0.334596996,-0.868534847,0.420714131
0,-0.301530688,0.478073792,0.049248595
0,-0.850905592,0.80666941,0.565273007
0,0.921021916,0.678882225,-0.724788023
0,-1.369329798,0.094712239,0.070749612
0,0.105812474,0.010421106,1.390088046
0,0.21413992,-1.103152931,-0.437498413
0,0.19866457,-1.322216676,-0.738512654
